filename,year,topic,top_words
1878_Gouraud-Julie_Cousine-Marie.txt,1878,1,"tante, mlle, mademoisell, vieillard, colonel, nièce, docteur, capitaine, vacance, chéri, écolier, neveu, professeur, demoiselle, notaire, hôtel, classe, apprécier, marraine, invitation"
1878_Chavannes-de-La-Giraudiere-Hippolyte-de_Patrice.txt,1878,9,"colonel, baronne, navire, montagne, commandant, canot, officier, marin, bateau, île, matelot, fleuve, pont, région, vallée, côte, nord, colonne, équipage, sable"
1878_Assollant-Alfred_Le-plus-hardi-des-gueux.txt,1878,7,"curé, capitaine, baron, parisien, hôtel, sénéchal, pont, boutique, vallée, commerce, commissaire, siècle, marchand, abbé, département, quartier, gare, police, ouvrier, marquis"
1878_Dupuis-Eudoxie_Cyprienne-et-Cyprien.txt,1878,5,"éléphant, vieillard, montagne, troupe, peuple, compagne, vallée, sourd, prince, créature, palais, nourriture, bande, capitaine, orphelin, princesse, solitude, rivière, trompe, rocher"
1880_Gouraud-Julie_Aller-et-retour.txt,1880,1,"tante, mlle, mademoisell, vieillard, colonel, nièce, docteur, capitaine, vacance, chéri, écolier, neveu, professeur, demoiselle, notaire, hôtel, classe, apprécier, marraine, invitation"
1880_Fleuriot-Zenaide_Tranquille-et-Tourbillon.txt,1880,1,"tante, mlle, mademoisell, vieillard, colonel, nièce, docteur, capitaine, vacance, chéri, écolier, neveu, professeur, demoiselle, notaire, hôtel, classe, apprécier, marraine, invitation"
1880_Martignat-Mlle-de_L-Oncle-Boni.txt,1880,1,"tante, mlle, mademoisell, vieillard, colonel, nièce, docteur, capitaine, vacance, chéri, écolier, neveu, professeur, demoiselle, notaire, hôtel, classe, apprécier, marraine, invitation"
1880_Fleuriot-Zenaide_Bonasse.txt,1880,1,"tante, mlle, mademoisell, vieillard, colonel, nièce, docteur, capitaine, vacance, chéri, écolier, neveu, professeur, demoiselle, notaire, hôtel, classe, apprécier, marraine, invitation"
1880_Gozlan-Leon_Aventures-merveilleuses-et-touchantes-du-prince-Chenevis-et-de-sa-jeune-soeur.txt,1880,5,"éléphant, vieillard, montagne, troupe, peuple, compagne, vallée, sourd, prince, créature, palais, nourriture, bande, capitaine, orphelin, princesse, solitude, rivière, trompe, rocher"
1881_Laurie-Andre_Memoires-d-un-collegien.txt,1881,0,"tante, curé, classe, juge, chanoinesse, capitaine, vache, neige, lycée, mademoisell, pension, professeur, public, tuteur, docteur, hôtel, magister, billet, aveugle, bateau"
1881_Martignat-Mlle-de_Ginette.txt,1881,0,"tante, curé, classe, juge, chanoinesse, capitaine, vache, neige, lycée, mademoisell, pension, professeur, public, tuteur, docteur, hôtel, magister, billet, aveugle, bateau"
1881_Stolz-Madame-de_Les-deux-reines.txt,1881,1,"tante, mlle, mademoisell, vieillard, colonel, nièce, docteur, capitaine, vacance, chéri, écolier, neveu, professeur, demoiselle, notaire, hôtel, classe, apprécier, marraine, invitation"
1881_Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien..txt,1881,5,"éléphant, vieillard, montagne, troupe, peuple, compagne, vallée, sourd, prince, créature, palais, nourriture, bande, capitaine, orphelin, princesse, solitude, rivière, trompe, rocher"
1881_Fleuriot-Zenaide_Alberte.txt,1881,1,"tante, mlle, mademoisell, vieillard, colonel, nièce, docteur, capitaine, vacance, chéri, écolier, neveu, professeur, demoiselle, notaire, hôtel, classe, apprécier, marraine, invitation"
1881_Colomb-Josephine_Feu-de-paille.txt,1881,0,"tante, curé, classe, juge, chanoinesse, capitaine, vache, neige, lycée, mademoisell, pension, professeur, public, tuteur, docteur, hôtel, magister, billet, aveugle, bateau"
1882_Gouraud-Julie_Chez-grand-mere.txt,1882,1,"tante, mlle, mademoisell, vieillard, colonel, nièce, docteur, capitaine, vacance, chéri, écolier, neveu, professeur, demoiselle, notaire, hôtel, classe, apprécier, marraine, invitation"
1882_Fleuriot-Zenaide_Bouche-en-coeur.txt,1882,3,"poupée, baron, princesse, baronne, moulin, bergère, mlle, jouet, tailleur, artiste, lune, prince, valet, soulier, fée, neige, portrait, fermier, meunier, marchand"
1883_Halt-Marie-Robert_Histoire-d-un-petit-homme.txt,1883,8,"mètre, ouvrier, construction, kilomètre, tante, siècle, aérien, plan, appareil, île, usine, patron, machine, pilote, dirigeable, ingénieur, étage, docteur, moteur, terrain"
1884_Gouraud-Julie_Le-Vieux-chateau.txt,1884,1,"tante, mlle, mademoisell, vieillard, colonel, nièce, docteur, capitaine, vacance, chéri, écolier, neveu, professeur, demoiselle, notaire, hôtel, classe, apprécier, marraine, invitation"
1884_Laurie-Andre_L-Heritier-de-Robinson.txt,1884,9,"colonel, baronne, navire, montagne, commandant, canot, officier, marin, bateau, île, matelot, fleuve, pont, région, vallée, côte, nord, colonne, équipage, sable"
1885_Bazin-Rene_Ma-tante-Giron.txt,1885,1,"tante, mlle, mademoisell, vieillard, colonel, nièce, docteur, capitaine, vacance, chéri, écolier, neveu, professeur, demoiselle, notaire, hôtel, classe, apprécier, marraine, invitation"
1885_Malot-Hector_Romain-Kalbris.txt,1885,3,"poupée, baron, princesse, baronne, moulin, bergère, mlle, jouet, tailleur, artiste, lune, prince, valet, soulier, fée, neige, portrait, fermier, meunier, marchand"
1885_Amero-Constant_Le-tour-de-France-d-un-petit-Parisien.txt,1885,7,"curé, capitaine, baron, parisien, hôtel, sénéchal, pont, boutique, vallée, commerce, commissaire, siècle, marchand, abbé, département, quartier, gare, police, ouvrier, marquis"
1886_Sand-George_Les-ailes-de-courage.txt,1886,3,"poupée, baron, princesse, baronne, moulin, bergère, mlle, jouet, tailleur, artiste, lune, prince, valet, soulier, fée, neige, portrait, fermier, meunier, marchand"
1886_Lemonnier-Camille_Les-joujoux-parlants.txt,1886,3,"poupée, baron, princesse, baronne, moulin, bergère, mlle, jouet, tailleur, artiste, lune, prince, valet, soulier, fée, neige, portrait, fermier, meunier, marchand"
1887_Malot-Hector_Sans-famille.txt,1887,0,"tante, curé, classe, juge, chanoinesse, capitaine, vache, neige, lycée, mademoisell, pension, professeur, public, tuteur, docteur, hôtel, magister, billet, aveugle, bateau"
1887_Soboleska-Mme_Les-Jeunes-filles-de-Quinnebasset.txt,1887,0,"tante, curé, classe, juge, chanoinesse, capitaine, vache, neige, lycée, mademoisell, pension, professeur, public, tuteur, docteur, hôtel, magister, billet, aveugle, bateau"
