title,text_id,char_id,char_name,type,Gender
1895_Mael-Pierre_Les-Derniers-Hommes-rouges.book --- pitch et schulmann,1895_Mael-Pierre_Les-Derniers-Hommes-rouges,4,pitch et schulmann,5.0,0.0
1878_Gouraud-Julie_Cousine-Marie.book --- marie,1878_Gouraud-Julie_Cousine-Marie,0,marie,1.0,1.0
1878_Gouraud-Julie_Cousine-Marie.book --- m. delorme,1878_Gouraud-Julie_Cousine-Marie,1,m. delorme,0.0,0.0
1878_Gouraud-Julie_Cousine-Marie.book --- madame solaville,1878_Gouraud-Julie_Cousine-Marie,2,madame solaville,0.0,1.0
1878_Gouraud-Julie_Cousine-Marie.book --- angélique,1878_Gouraud-Julie_Cousine-Marie,3,angélique,0.0,1.0
1878_Gouraud-Julie_Cousine-Marie.book --- paul,1878_Gouraud-Julie_Cousine-Marie,4,paul,1.0,0.0
1851_Sand-George_Histoire-du-veritable-Gribouille.book --- gribouille,1851_Sand-George_Histoire-du-veritable-Gribouille,0,gribouille,1.0,0.0
1851_Sand-George_Histoire-du-veritable-Gribouille.book --- m. bourdon,1851_Sand-George_Histoire-du-veritable-Gribouille,1,m. bourdon,2.0,0.0
1851_Sand-George_Histoire-du-veritable-Gribouille.book --- char2,1851_Sand-George_Histoire-du-veritable-Gribouille,2,char2,,
1851_Sand-George_Histoire-du-veritable-Gribouille.book --- du roi bourdon,1851_Sand-George_Histoire-du-veritable-Gribouille,3,du roi bourdon,5.0,0.0
1851_Sand-George_Histoire-du-veritable-Gribouille.book --- char4,1851_Sand-George_Histoire-du-veritable-Gribouille,4,char4,,
1867_Pitray-Olga-de-Segur_Les-enfants-des-Tuileries.book --- julien,1867_Pitray-Olga-de-Segur_Les-enfants-des-Tuileries,0,julien,1.0,0.0
1867_Pitray-Olga-de-Segur_Les-enfants-des-Tuileries.book --- élisabeth,1867_Pitray-Olga-de-Segur_Les-enfants-des-Tuileries,1,élisabeth,1.0,1.0
1867_Pitray-Olga-de-Segur_Les-enfants-des-Tuileries.book --- irène,1867_Pitray-Olga-de-Segur_Les-enfants-des-Tuileries,2,irène,1.0,1.0
1867_Pitray-Olga-de-Segur_Les-enfants-des-Tuileries.book --- armand,1867_Pitray-Olga-de-Segur_Les-enfants-des-Tuileries,3,armand,1.0,0.0
1867_Pitray-Olga-de-Segur_Les-enfants-des-Tuileries.book --- m. de valmier,1867_Pitray-Olga-de-Segur_Les-enfants-des-Tuileries,4,m. de valmier,0.0,0.0
1875_Mirabeau-Marie-Le-Harivel-de-Gonneville_Ctesse-de-Mirabeau-Jane-et-Germaine-Voyages-d-un-capitaine.book --- jane,1875_Mirabeau-Marie-Le-Harivel-de-Gonneville_Ctesse-de-Mirabeau-Jane-et-Germaine-Voyages-d-un-capitaine,0,jane,1.0,1.0
1875_Mirabeau-Marie-Le-Harivel-de-Gonneville_Ctesse-de-Mirabeau-Jane-et-Germaine-Voyages-d-un-capitaine.book --- germaine,1875_Mirabeau-Marie-Le-Harivel-de-Gonneville_Ctesse-de-Mirabeau-Jane-et-Germaine-Voyages-d-un-capitaine,1,germaine,1.0,1.0
1875_Mirabeau-Marie-Le-Harivel-de-Gonneville_Ctesse-de-Mirabeau-Jane-et-Germaine-Voyages-d-un-capitaine.book --- fernand,1875_Mirabeau-Marie-Le-Harivel-de-Gonneville_Ctesse-de-Mirabeau-Jane-et-Germaine-Voyages-d-un-capitaine,2,fernand,0.0,0.0
1875_Mirabeau-Marie-Le-Harivel-de-Gonneville_Ctesse-de-Mirabeau-Jane-et-Germaine-Voyages-d-un-capitaine.book --- madame de guéblan,1875_Mirabeau-Marie-Le-Harivel-de-Gonneville_Ctesse-de-Mirabeau-Jane-et-Germaine-Voyages-d-un-capitaine,3,madame de guéblan,0.0,1.0
1875_Mirabeau-Marie-Le-Harivel-de-Gonneville_Ctesse-de-Mirabeau-Jane-et-Germaine-Voyages-d-un-capitaine.book --- alfred,1875_Mirabeau-Marie-Le-Harivel-de-Gonneville_Ctesse-de-Mirabeau-Jane-et-Germaine-Voyages-d-un-capitaine,4,alfred,0.0,0.0
1891_Witt-Henriette-de_La-Petite-fille-aux-grand-meres.book --- mme derville,1891_Witt-Henriette-de_La-Petite-fille-aux-grand-meres,0,mme derville,0.0,1.0
1891_Witt-Henriette-de_La-Petite-fille-aux-grand-meres.book --- marie,1891_Witt-Henriette-de_La-Petite-fille-aux-grand-meres,1,marie,1.0,1.0
1891_Witt-Henriette-de_La-Petite-fille-aux-grand-meres.book --- grand'mère,1891_Witt-Henriette-de_La-Petite-fille-aux-grand-meres,2,grand'mère,0.0,1.0
1891_Witt-Henriette-de_La-Petite-fille-aux-grand-meres.book --- céleste,1891_Witt-Henriette-de_La-Petite-fille-aux-grand-meres,3,céleste,1.0,1.0
1891_Witt-Henriette-de_La-Petite-fille-aux-grand-meres.book --- m. brémont,1891_Witt-Henriette-de_La-Petite-fille-aux-grand-meres,4,m. brémont,0.0,0.0
1878_Chavannes-de-La-Giraudiere-Hippolyte-de_Patrice.book --- bryan,1878_Chavannes-de-La-Giraudiere-Hippolyte-de_Patrice,0,bryan,0.0,0.0
1878_Chavannes-de-La-Giraudiere-Hippolyte-de_Patrice.book --- patrice,1878_Chavannes-de-La-Giraudiere-Hippolyte-de_Patrice,1,patrice,1.0,0.0
1878_Chavannes-de-La-Giraudiere-Hippolyte-de_Patrice.book --- la famille bryan,1878_Chavannes-de-La-Giraudiere-Hippolyte-de_Patrice,2,la famille bryan,5.0,0.0
1878_Chavannes-de-La-Giraudiere-Hippolyte-de_Patrice.book --- victor,1878_Chavannes-de-La-Giraudiere-Hippolyte-de_Patrice,3,victor,0.0,0.0
1878_Chavannes-de-La-Giraudiere-Hippolyte-de_Patrice.book --- m. la place,1878_Chavannes-de-La-Giraudiere-Hippolyte-de_Patrice,4,m. la place,0.0,0.0
1900_Chabrier-Rieder-Charlotte_Les-epreuves-de-Charlotte.book --- charlotte,1900_Chabrier-Rieder-Charlotte_Les-epreuves-de-Charlotte,0,charlotte,1.0,1.0
